SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,887.00,907.15,887.00,897.30,888.20,886.25,310,3197,2874783.00,,INE117A01022,30-Oct-20,,
500003,AEGIS LOGIS ,A ,Q,219.00,219.50,205.10,206.85,207.65,215.55,963,13572,2867884.00,,INE208C01025,30-Oct-20,,
500008,AMAR RAJA BA,A ,Q,738.00,771.55,738.00,766.25,766.25,743.90,3340,94550,72167101.00,,INE885A01032,30-Oct-20,,
500009,A.SARABHAI  ,X ,Q,17.30,18.00,17.00,17.55,17.50,17.70,83,11873,206954.00,,INE432A01017,30-Oct-20,,
500010,HDFC        ,A ,Q,1934.00,1947.00,1907.70,1922.75,1922.75,1934.25,3562,50371,96929652.00,,INE001A01036,30-Oct-20,,
500012,ANDHRA PETRO,XT,Q,37.50,37.50,35.05,36.85,37.25,36.00,118,30213,1109503.00,,INE714B01016,30-Oct-20,,
500013,ANSAL INFRAS,B ,Q,4.21,4.28,4.06,4.11,4.11,4.11,26,7661,31756.00,,INE436A01026,30-Oct-20,,
500014,UTIQUE      ,X ,Q,1.14,1.14,1.14,1.14,1.14,1.04,3,704,802.00,,INE096A01010,30-Oct-20,,
500020,BOM DYEING  ,A ,Q,62.00,62.75,61.45,61.70,61.70,62.05,608,53674,3327779.00,,INE032A01023,30-Oct-20,,
500023,ASIANHOTNR  ,B ,Q,51.90,52.70,51.05,51.90,51.90,52.00,10,95,4924.00,,INE363A01022,30-Oct-20,,
500027,ATUL LTD.   ,A ,Q,6108.30,6108.30,5970.00,6006.70,6010.00,6073.55,190,337,2033476.00,,INE100A01010,30-Oct-20,,
500028,ATV PROJECTS,XT,Q,3.90,4.08,3.71,3.71,3.71,3.90,23,16680,63246.00,,INE447A01015,30-Oct-20,,
500029,AUTOLITE(I) ,B ,Q,18.00,18.45,17.75,18.10,18.10,18.45,9,1903,34110.00,,INE448A01013,30-Oct-20,,
500031,BAJAJ ELECT.,A ,Q,497.00,498.75,486.00,488.00,489.45,491.35,235,3260,1605099.00,,INE193E01025,30-Oct-20,,
500032,BAJAJHIND   ,B ,Q,4.78,4.78,4.66,4.69,4.69,4.74,576,307816,1448512.00,,INE306A01021,30-Oct-20,,
